Nº ,OBJETO ,CONTRATO,DIRETORIA RESPONSÁVEL,Unidade,CÓD. PAOE,DESCRIÇÃO DO ITEM DE DESPESA,UNIDADE DE MEDIDA,QTD,VALOR UNITÁRIO,VALOR TOTAL,GRUPO DE DESPESA,NATUREZA,FONTE,IDU,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A+B+C+D)
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
13,Aquisição de serviços de terceiros para implementação do Programa PDGD (cedidos),Novo a contratar 2024,DAFI,UGPES/GACD,2007,Continuação da implementação do Programa  PDGD (cedidos),Mensal,12,"R$ 4.166,00","R$ 49.992,00",3-DESPESAS CORRENTES,3.3.90.39.051,1.501.0000,OD-OUTRAS DESPESAS,5,3,3,5,225
16,LUA Serviços Eireli - ME - Aux. Administrativos ,Existente / Aditivo,DAFI,UGPES/GACD,2007,"Executar serviços administrativos de nivel médio                                              - 27 aux. adm. -   R$ 3.500,00  ",Mensal,12,"R$ 94.500,00","R$ 1.134.000,00",3-DESPESAS CORRENTES,3.3.90.08.006,1.501.0000,CD-CONTRATOS DIVERSOS,1,3,3,3,27
17,Contratar empresa para confecção e impressão de Crachas funcionais,Novo a contratar 2024,DAFI,UGPES/GPMM,2007,Contratar empresa para emissao de crachas novos e reposições,Mensal,12,"R$ 500,00","R$ 6.000,00",3-DESPESAS CORRENTES,3.3.90.08.006,1.501.0000,OD-OUTRAS DESPESAS,1,3,3,3,27
18,Contratar Empresa para Prestação de Serviços  -  15 - Analista Administrativo - Perfil nivel superior e pós-gradaução,Novo a contratar 2024,DAFI,UGPES/GACD,2259,Contratar 20 Analista Administrativo (perfil nivel Graduação e pós-Graduação)   -  20  * 7.500,Mensal,12,"R$ 150.000,00","R$ 1.800.000,00",3-DESPESAS CORRENTES,3.3.90.39.033,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,625
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,27
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2007,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2008,,,,,"R$ 0,00",,,,,,,,,0
14,Aquisição de equipamento de frequência de ponto e Software,Novo a contratar 2024,DAFI,UGPES,2009,Ponto eletrônico,Unidade,01,"R$ 20.000,00","R$ 20.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
15,"Aquisição de Leitores/Coletores de Dados RFID, Tags/Etiquetas para superfícies metálicas/não metálicas dos bens com tombamento patrimonial, para facilitar o Inventário Anual 
",Novo a contratar 2024,DAFI,UGADM,2009,Controle de patrimônio RFID,Unidade,01,"R$ 1.000.000,00","R$ 1.000.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
16,Implantação da solução APP MEU RH,Novo a contratar 2024,DAFI,UGPES,2009,Software para gestão de ponto (Versão atualizada),Unidade,01,"R$ 100.000,00","R$ 100.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.501.0000,OD-OUTRAS DESPESAS,,,,,0
17,Consultoria para apoio técnico especializado para registro de software e Propriedade Intelectual e provisão para pagamentos de Taxas INPI,Novo a contratar 2024,GADV,UGEIP,2009,Consultoria para apoio técnico especializado para registro de software e Propriedade Intelectual e provisão para pagamentos de Taxas INPI,Unidade,12,"R$ 4.000,00","R$ 48.000,00",3-DESPESAS CORRENTES,3.3.90.31,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
18,ELOFY  - Sistema de Tecnologia da Informação Ltda  ,Existente / Aditivo,DAFI,UGPES/GACD,2259,Fornecimento de software de Gestão de Pessoas,Mensal,12,"R$ 4.000,00","R$ 48.000,00",3-DESPESAS CORRENTES,3.3.90.08.006,1.501.0000,CD-CONTRATOS DIVERSOS,1,3,3,3,27
19,Implementar melhorias e evolução no sistema de Gamificação MTI GEN,Novo a contratar 2024,GADV,UGEIP,2009,Contratação de fábrica de sofwtare para desenvolvimento e sustentação sistema de gamificação,Unidade,01,"R$ 320.000,00","R$ 320.000,00",3-DESPESAS CORRENTES,3.3.90.39,1.501.0000,OD-OUTRAS DESPESAS,5,3,4,4,240
20,Aquisição de equipamentos ou produtos de tecnologia voltados a desenvolvimento de projetos de pesquisa e inovação internas pela MTI,Novo a contratar 2024,GADV,UGEIP,2009,Aquisição de equipamentos voltados a desenvolvimento de projetos de pesquisa e inovação internas pela MTI,Unidade,10,"R$ 6.000,00","R$ 60.000,00",4-DESPESAS DE CAPITAL,4.4.90.52,1.501.0000,OD-OUTRAS DESPESAS,5,3,4,4,240
21,Equipamento para foto/vídeo e divulgação em tempo real com qualidade profissional de entrega dos eventos/reuniões/capacitações da MTI,Novo a contratar 2024,GADP,ASSCOM,2009,"Aquisição de Smartphone, ring light, microfone, gimbal, etc. ",Unidade,01,"R$ 20.000,00","R$ 20.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
22,"Testar os apps mt cidadão, mt servidor e mt empresarial em versão IOS",Novo a contratar 2024,GADV,UGPGD,NOVA 4,Smartphone IOS,Unidade,02,"R$ 10.000,00","R$ 20.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,5,3,4,3,180
23,"Testar os apps mt cidadão, mt servidor e mt empresarial em versão IOS",Novo a contratar 2024,GADV,UGPGD,NOVA 4,Smartphone e Tablets Android,Unidade,04,"R$ 2.500,00","R$ 10.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,5,2,3,2,60
24,"Gerar código dos apps mt cidadão, mt servidor e mt empresarial versão IOS",Novo a contratar 2024,GADV,UGPGD,NOVA 4,MACBOOK AIR M1 16gb de memória,Unidade,02,"R$ 20.000,00","R$ 40.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,5,2,3,2,60
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2009,,,,,"R$ 0,00",,,,,,,,,0
02,Plano Anual de Comunicação e Marketing,Novo a contratar 2024,GADP,ASSCOM,2014,"Divulgação de campanhas, redes sociais, vídeos marketing, agência especializada, softwares de edição",Mensal,12,"R$ 3.000,00","R$ 36.000,00",3-DESPESAS CORRENTES,3.3.90.39,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
03,Materiais de Marketing ,Novo a contratar 2024,GADP,ASSCOM,2014,"Aquisição de material de consumo: banner, folder, backdroop, adesivos, Display Acrílico;
Painel;
Placa de sinalização",Unidade,12,"R$ 1.000,00","R$ 12.000,00",3-DESPESAS CORRENTES,3.3.90.30,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
04,Contratação de empresa de cerimonial e organização de eventos,Novo a contratar 2024,GADP,ASSCOM,2014,"Palestrante, maketing e divulgação do evento, fornecedores e etc.",Unidade,01,"R$ 150.000,00","R$ 150.000,00",3-DESPESAS CORRENTES,3.3.90.39,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2014,,,,,"R$ 0,00",,,,,,,,,0
