Unidade,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,NÍVEL DO RISCO,CLASSIFICAÇÃO DO RISCO,O QUE,QUEM,ONDE,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos,CR,CTD CR
R.UGADM.05,"Falta de realização de inventário (Bens permanentes, consumo, imobiliário e intangíveis)",Operacional,ALTO,RESIDUAL,"Ocorre quando não há um processo regular de inventário para bens permanentes, de consumo, imobiliários e intangíveis, resultando em falta de controle sobre os ativos da organização.",Marco ,MTI ,"Isso acontece devido à falta de recursos humanos, ferramentas adequadas ou priorização inadequada da gestão de patrimônio.",Alimentar com todas as informações a comissão de inventário ,05/02/2025,24/12/2025,,EM ANDAMENTO,"80,00%",Foi realizado  mes de Julho o Inventário semestral. Entregue ao presidente da Comissão ,UGADM,,,,,
UGCOF,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Risco Estratégico,MODERADO,INERENTE,Manter a regularidade fiscal da empresa,Alcindo / Gustavo ,UGCOF/GICF,Robustecer a credibilidade institucional e a qualidade das entregas das ceritidões de regularidade pela Unidade.,Efetuando apurações e monitoramentos semanais nos canais disponibilizados pela RFB/PFN e outros órgãos fiscalizadores,01/01/2025,31/12/2025,,,,,UGCOF,"60,00%",9,9,,
R.UGCOF.02,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Risco Estratégico,ALTO,INERENTE,Implementar software de gestão de custos,Alcindo / Djalma,UGCOF/GCCP,"Monitorar, controlar e otimizar custos, promovendo maior eficiência financeira e facilitando a tomada de decisões estratégicas com base em dados precisos.",Acompanhar o percentual de execução mensal do projeto,01/01/2025,31/12/2025,,,,,UGCOF,,,,,
R.UGCOF.03,Redução da Margem de Lucro ,Risco Estratégico,ALTO,INERENTE,Proceder com a revisão do Portifólio de Serviços focado em Custos,Alcindo / Djalma,UGCOF/GCCP,"Identificar oportunidades de redução de custos, otimização de recursos, aumento da eficiência e a eliminação de serviços não lucrativos ou a reformulação de estratégias para melhorar a competitividade e a margem de lucro dos serviços oferecidos.",Acompanhar o percentual de execução mensal do projeto,01/01/2025,31/12/2025,,,,,UGCOF,,,,,
R.UGCOF.04,Redução da Margem de Lucro ,Risco Estratégico,,INERENTE,Manter a opção por regimes e procedimentos tributarios que garantam a elisão fiscal,Alcindo / Gustavo ,UGCOF/GICF,"Otimizar a carga tributária de forma legal, promovendo maior economicidade.",Efetuando apurações e monitoramentos mensais nos canais disponibilizados pela RFB/PFN e outros órgãos fiscalizadores para detecção de oportunidades e contratação de informativos especializados,01/01/2025,31/12/2025,,,,,UGCOF,,,,,
R.UGCOF.05,B - Descumprimento de prazos para envio de informações relativas à Conciliação Bancaria pelo setor Financeiro em detrimento do processo de compatibilização de informações entre os sistemas de gestão Publico e Privado.,Operacional,ALTO,RESIDUAL,Cumprimento de prazos,Alcindo / Gustavo / Marcio,UGOFF/UGCOF/GICF,"Ações a serem realizadas para mitigação de riscos de atrasos nos fechamentos contabeis mensais, oriundos de ausencias de informações internas. ","Com a realização da conciliação bancaria em ritmo diario ou semanal, com intuito de otimizar a data de fechamento mensal e posterior entrega à UGCOF para as devidas validações.",01/01/2025,31/12/2025,,EM ANDAMENTO,"60,00%",,UGCOF,,,,,
R.UGCOF.06,C - Descumprimento de prazos para envio de informações relativas ao Faturamento Mensal pela GFAC em detrimento do processo de compatibilização de informações entre os sistemas de gestão Publico e Privado.,Operacional,ALTO,RESIDUAL,Cumprimento de prazos,Alcindo / Gustavo / Marcio,UGOFF/UGCOF/GICF,"Ações a serem realizadas para mitigação de riscos de atrasos nos fechamentos contabeis mensais, oriundos de ausencias de informações internas. ",Com o fechamento das informações relativas aos faturamentos do mês corrente em prazo hábil e a conferencia dos cancelamentos de documentos de competencias anteriores que servirão de creditos tributarios nas apurações tributarias do mês avaliado. ,01/01/2025,31/12/2025,,EM ANDAMENTO,"60,00%",,UGCOF,,,,,
R.UGCOF.07,D - Analise de documento fiscal em descumprimento as normas de retenção ou creditos tributarios.,Operacional,ALTO,RESIDUAL,Legislação Tributaria,Alcindo / Gustavo,UGCOF/GICF,"Análises necessarias para liberação de um documento de entrada/saida, considerando que os mesmos interferem diretamente no montante de tributos apurado mensalmente.","Com observação a legislação tributaria, realização de atualizações constantes sobre o assunto e tratamento de erros na validação dos documentos.",01/01/2025,31/12/2025,,EM ANDAMENTO,"60,00%",,UGCOF,,,,,
R.UGCOF.08,G - Preço dos produtos/serviços não competitivos com o mercado,Operacional,CRÍTICO,RESIDUAL,Atualização do plano de gestão de custos,Alcindo / Djalma,UGCOF/GCCP,"Necessidade de revisão dos custos dos serviços prestados, considerando folha, insumos e tributos para melhoria e adequação da apropriação dos custos e preços de venda","Com a observação nas melhores praticas de gestão de custos,realização de capacitação do pessoal responsavel e implantação de ferramentas necessarias. ",01/01/2025,31/12/2025,,EM ANDAMENTO,"60,00%",,UGCOF,,,,,
R.UGCOF.09,"H - Descumprimento dos prazos de entrega dos Inventarios de Bens móveis, imóveis e de Consumo",Operacional,MODERADO,RESIDUAL,Gestão patrimonial,Alcindo / Olivia,UGCOF/UGADM,Necessidade do registro e classificação dos bens e suas alterações/cessões tempestivamente.,"Com a correta utilização da ferramenta de gestão de ativos, realização de ações  que mitiguem o risco de perda, dano ou extravio dos bens da empresa.",01/01/2025,31/12/2025,,EM ANDAMENTO,"60,00%",,UGCOF,,,,,
R.UGOFF.01,Redução da Margem de Lucro ,Risco Estratégico,MODERADO,INERENTE,Monitorar o sistema Infocenter,"Toda a Gerência de Unidade de Orçamento, Financeiro e Faturamento",No setor que envolve a Unidade de Gerência e os Gerentes Operacionais,Melhor e oitimizar melhor o funicionamento do sistema dentro da UGOFF,Aperfeicoamento no entendimento do Sistema,01/01/2025,31/12/2025,,,,,UGOFF,"23,00%",7,7,,
R.UGOFF.02,Desmotivação dos colaboradores ,Risco Estratégico,MODERADO,INERENTE,Implementar rodizio entre as gerencias: GFAC-GEFI-GEOR / UGOFF para aprimorar os conhecimentos e otimizar trabalho em 120 dias,"Toda a Gerência de Unidade de Orçamento, Financeiro e Faturamento",No setor que envolve a Unidade de Gerência e os Gerentes Operacionais,"Reduzir a dependência excessiva de conhecimento específico em cada área
Facilitar a substituição temporária de colaboradores em casos de ausência
Aprimorar a visão global dos processos financeiros, orçamentários e faturamento","Definir as funções e responsabilidades dentro do rodízio
Criar um plano de treinamento para nivelamento inicial
Executar o Rodízio
Monitorar e avaliar a eficácia do rodízio
",,,,,,,UGOFF,,,,,
R.UGOFF.03,A - Atraso na tramitação do processo para pagamentos.,Operacional,MODERADO,RESIDUAL,"Implementação de medidas para reduzir atrasos na tramitação dos processos de pagamento, garantindo maior eficiência e conformidade nos prazos estabelecidos.","Gerente da Unidade de Orçamento, Financeiro e Faturamento e o Gerente Operacional Financeiro","Na Unidade de Gerência de Orçamento, Financeiro e Faturamento e em demais setores envolvidos na tramitação dos processos de pagamento.","Evitar impactos negativos na operação da empresa devido a pagamentos em atraso
Cumprir obrigações contratuais e legais, evitando multas e sanções
","Mapeamento e análise do fluxo atual
Treinamento da equipe
Automação e padronização dos processos
Definição de prazos e responsabilidades
",02/01/2025,31/12/2025,,EM ANDAMENTO,"50,00%","Foi realizado um alinhamentos com os fiscais e gestores de contratos, que resultou em celeridade nos tramites dos processos.",UGOFF,,,,,
R.UGOFF.04,I- Inadimplência dos Clientes da MTI,Operacional,ALTO,RESIDUAL,"Implementar medidas para mitigar e reduzir a inadimplência dos clientes da MTI, garantindo maior eficiência na cobrança e regularização dos créditos pendentes","Gerente da Unidade de Orçamento, Financeiro e Faturamento e o Gerente Operacional Faturamento","Clientes da MTI
Departamento Comercial da MTI
Gerência de Faturamento","Reduzir perdas financeiras e impactos no fluxo de caixa da MTI
Garantir a sustentabilidade da empresa e a continuidade dos serviços prestados","Mapeamento da Inadimplência
Política de Cobrança Preventiva
Acompanhamento Contínuo e Medidas Corretivas",02/01/2025,31/12/2025,,EM ANDAMENTO,"15,00%",Aperfeiçoamento dos relatórios; envio de cartas de notificações para as UOs.,UGOFF,,,,,
R.UGOFF.05,Contingenciamento ou Corte de Recursos Orçamentários,Operacional,MODERADO,INERENTE,"Mitigar os impactos do contingenciamento ou corte de recursos orçamentários, garantindo a continuidade das operações e cumprimento das obrigações financeiras da empresa","Gerência da Unidade, Gerência Operacional do Orçamento, Diretoria Administrativa","Na MTI, abrangendo todas as áreas impactadas pelo orçamento, especialmente aquelas com compromissos financeiros essenciais e projetos estratégicos","Para garantir que a empresa continue operando de maneira eficiente, mesmo diante da redução de orçamento, minimizando impactos negativos nos serviços prestados, nos contratos vigentes e no cumprimento de obrigações legais ","Monitoramento Contínuo do Orçamento
Priorização de Despesas
Negociação com Órgãos Superiores
Adoção de Medidas de Eficiência",02/01/2025,31/12/2025,,EM ANDAMENTO,"15,00%",Monitoramento do orçamento analisando todas as fontes; reunião com o Secretário Adjunto para informar o posicionamento dos recursos orçamentários. Acompanhamento dos recebimentos dos recursos com o objetivo de acompanhar e monitorar frustrações de receitas,UGOFF,,,,,
R.UGOFF.06,Subestimação ou Superestimação do Orçamento,Operacional,ALTO,INERENTE,"Implementação de medidas para aprimorar a estimativa orçamentária, garantindo maior precisão nos valores previstos","Gerência da Unidade, Gerência de Orçamento, Diretorias responsáveis e Unidades demandantes","Na MTI, em reuniões de validação do orçamento com os gestores internos","Para garantir alinhamento do orçamento com a realidade da execução financeira
Para prevenir falta ou excesso de alocação de recursos, comprometendo a eficiência operacional","Adoção de ferramentas tecnológicas para análise de dados e projeções financeiras mais precisas
Realização de reuniões periódicas com áreas envolvidas para validação e ajustes das previsões
Monitoramento contínuo do orçamento durante o exercício financeiro, com ajustes conforme necessário",02/01/2025,31/12/2025,,EM ANDAMENTO,"20,00%",Monitorar as solicitações de Termos de Referência e pedidos novos de despesas e verificar junto ao orçamento se o recurso foi programado no Plano de Trabalho Anual.,UGOFF,,,,,
R.UGOFF.07,Erros na Emissão de Faturas e Notas Fiscais,Conformidade,ALTO,INERENTE,"Implementação de medidas corretivas e preventivas para minimizar erros na emissão de faturas e notas fiscais, garantindo a conformidade com normas e regulamentos","Gerência de Faturamento, juntamente com a área da Diretoria Comercial da MTI","Nos processos internos da  MTI, abrangendo setores de faturamento, financeiro e área comercial.","Reduzir riscos financeiros e administrativos causados por erros em notas fiscais
Melhorar a eficiência operacional e a credibilidade da empresa","Revisão dos processos de faturamento
Implementação de checklists e validação dupla
Automatização de verificações",02/01/2025,31/12/2025,,EM ANDAMENTO,"15,00%","A GFAC está monitorando os pedidos de faturamento e analisando se o pedido está certo para o Faturamento. Caso não esteja de acordo, o processo é devolvido para a Diretoria Comercial",UGOFF,,,,,
R.UGITI.01,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Risco Estratégico,,,Atender 80% dos incidentes dentro do SLA,TODAS A GERENCIAS OPERACIONAIS,UGITI,,Abrindo discussão da melhoria do processo de atribuição dos incidentes e tratamento; Melhorar SLA do início de atendimento,,,,,,"Monitoramento de Junho: 
<<informar o status no mês>>
Monitoramento de Julho: 
<<informar o status no mês>>
Monitoramento de Agosto: 
<<informar o status no mês>>
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,"69,21%",14,14,,
R.UGITI.02,Redução da Margem de Lucro ,Risco Estratégico,,,Apoiar no levantamento técnico na composição de custos das soluções corporativas - FINOPS,UGITI,,,,,,,,,"Monitoramento de Junho: 
<<informar o status no mês>>
Monitoramento de Julho: 
<<informar o status no mês>>
Monitoramento de Agosto: 
<<informar o status no mês>>
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.03,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC ,Risco Estratégico,,,Implementar melhorias no sistema de refrigeração e eletrificação do atual datacenter,GPAC,DATACENTER,Garantir a disponibilidade dos serviços prestados pela MTI,"Aberto OS para o fornecedor GREEN4T, realizar a substituição do sistema de refrigeração do Datacenter, a partir do contrato existente",,,,,,"Monitoramento de Junho: 
<<informar o status no mês>>
Monitoramento de Julho: 
<<informar o status no mês>>
Monitoramento de Agosto: 
<<informar o status no mês>>
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.04,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC ,Risco Estratégico,,,Implantar Link Dedicado com Parceiro Zadara para melhorar latencia na nuvem pública,Zadara,MTI,,"Validar alteração de Catálo de Serviços da Parceria, com a inclusão da disponibilidade de link dedicado para comunicação com Datacenter de nuvem pública do Parceiro",,,,,,"
Aberto a discussão com o parceiro, necessário validar fornecedores com capacidade de realizar a entrega

Monitoramento de Junho: 
<<informar o status no mês>>
Monitoramento de Julho: 
<<informar o status no mês>>
Monitoramento de Agosto: 
<<informar o status no mês>>
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.05,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC ,Risco Estratégico,,,Iniciar e estruturar tratativas de segundo site no parque tecnologico de MT,UGITI,UGITI,,Elaborar Estudo Técnico Preliminar para avaliar as alternativas para construção do Site secundário da MTI,,,,,,"Monitoramento de Junho: 
<<informar o status no mês>>
Monitoramento de Julho: 
<<informar o status no mês>>
Monitoramento de Agosto: 
<<informar o status no mês>>
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.06,Ataques Cibernéticos ,Risco Estratégico,,,Implementar melhorias de segurança a partir dos relatórios de vulnerabilidade - tenable - para INFOVIA,GRCO,GRCO,,"Operacionalizar a implentação de melhorias de segurança nos ativos de rede, conforme apontamentos e análise dos relatórios de vulnerabilidades.",01/03/2025,31/12/2025,,,,"Aguardando definição do processo de Encaminhamento do Relatório de  Vulnerabilidades e análise dos riscos pelo Setor competente

Monitoramento de Junho: 
<<informar o status no mês>>
Monitoramento de Julho: 
<<informar o status no mês>>
Monitoramento de Agosto: 
<<informar o status no mês>>
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.07,Baixa performance nos equipamentos de processamento de dados;,Operacional,ALTO,RESIDUAL,Substituir Parque Computacional obsoleto,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,Aquisição de novos servidores para composição do parque computacional através da Adesão ao LOTE 02 da ARP RedHat,01/01/2025,15/04/2025,,EM ANDAMENTO,"60,00%","Projeto Service Now:  PRJ0124260

Monitoramento de Junho: 
Contrato assinado, OF emitida. Aguardando Entrega dos Equipamentos
Monitoramento de Julho: 
Equipamentos entregues em 31/07. Finalizando o plano de Implantação. 
Monitoramento de Agosto: 
Equipamentos em processo de instalação. 
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.08,Indisponibilidade do ambiente de hospedagem (colocation),Operacional,ALTO,RESIDUAL,Executar Retrofit do Espaço Físcio do DC,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,"Realizar a contratação de serviços de engenharia para elaboração de Projetos de Retrofi do DC, que compreendam as necessidade de Refrigeração, Elétrica, Combate e prevenção de incêndio, Monitoramento e automação (DCIM);
Após projetos disponíveis realizar a priorização, para contratação das execuções ",01/02/2024,31/12/2024,,EM ANDAMENTO,"50,00%","ABerto OS para  Green4T executar a parte do projeto de climatização; 

PRJ0092737 (projeto trata o escopo todo, mesmo as partes que não entregaremos em 2025)

Monitoramento de Junho: 
Aguardando Fornecedor.
Monitoramento de Julho: 
Aguardando entrega dos equipamentos para implantação da Climatização
Monitoramento de Agosto: 
Equipamentos entregues. e Estamos no Planejamento da Instalação. 
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.09,Indisponibilidade no Ambiente de Virtualização;,Operacional,ALTO,RESIDUAL,Substituir Parque Computacional obsoleto,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,Adesão ao LOTE 2 ARP REDHAT; ,01/01/2025,15/04/2025,,CONCLUÍDA,"100,00%","Contrato assinado, OF emitida. Aguardando Entrega dos Equipamentos
Projeto PRJ0124260
Monitoramento de Junho: 
Aguardando Fornecedor. Houve replanejamento do projeto e o percentual passou de 60% para 12,47%
Monitoramento de Julho: 
Equipamentos entregues em 31/07. Finalizando o plano de Implantação.
Monitoramento de Agosto: 
Como esse item trata da adesão a ARP, consideramos concluida. Ata de registro de preço aderiada e contrato assinado. Contrato 07/2025 Click TI. 
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.10,Indisponibilidade dos serviços de internet,Operacional,ALTO,RESIDUAL,Ampliar a capacidade dos links de internet do AS,GRCO,MTI,Garantir a continuidade dos processos de negócio do Estado de Mato Grosso,Adtivo contratual com os provedores de Internet do AS para aumento da capacidade do LINK de internet,01/12/2023,15/04/2024,,CONCLUÍDA,"100,00%",,UGITI,,,,,
R.UGITI.11,"Indisponibilidade de comunicação na rede Infovia
e rede Core (incluindo rede de acesso - Datacenter)",Operacional,ALTO,RESIDUAL,Subustituição de todo o parque de Ativos de Rede CORE,GRCO,MTI,Garantir a continuidade dos serviços de conectividade  do Datacenter e da Rede Infovia,Executar o Projeto de Implantação da Rede Core SDN (Spine/Leaf) licitada em 2023,05/12/2023,30/04/2025,,EM ANDAMENTO,"48,67%","Projeto em andamento, acompanhamento: 
PRJ0018599

Monitoramento de Junho: 
Em andamento, detalhes no projeto PRJ0018599.
Monitoramento de Julho: 
Em andamento das migrações dos Circuitos para a nova tecnologia. 
Monitoramento de Agosto: 
Projeto em andamento. Detalhes no Service Now.
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.12,Indisponibilidade do Ambiente de Balanceamento,Operacional,ALTO,RESIDUAL,Finalizar projeto de migração dos Virtual Servers (VS) do ambiente legado para novo,GABD,MTI,Garantir a disponibilidade e segurança das aplicações mantidas pela MTI,"Emitir OS para o contratado realizar as ações de configuração e finalização do projeto de migração, consequentemente desativar ambiente legado",01/01/2024,31/05/2025,,CONCLUÍDA,"100,00%",,UGITI,,,,,
R.UGITI.13,Baixa performance no uso das aplicações,Operacional,ALTO,RESIDUAL,ampliar uso da ferramenta de monitoramento de performance de aplicações (APM),GABD,MTI,Garantir a disponibilidade e segurança das aplicações mantidas pela MTI,Necessário atualização contratual. Renovação com Aditivo ou nova contratação;,10/05/2024,31/12/2025,,EM ANDAMENTO,"25,00%","Avaliando a inclusão no processo de contratação de NOC

PRJ0115961
Monitoramento de Junho: 
Houve redefinição do escopo da ação e foi replanejado de 20% para 5%
Monitoramento de Julho: 
Revisão da V2 da Especificação Técnica. Proximo passo é solicitar orçamentos.
Monitoramento de Agosto: 
Em processo de Renovação. TR em andamento. Sem processo no SIGADoc ainda. 
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGITI.14,"Indisponibilidade da Plataforma de
 Container - RedHat Openshift.",Operacional,CRÍTICO,RESIDUAL,Manter equipe capacitada na operacionalização da solução de containers,GABD,MTI,Garantir a disponibilidade das aplicações mantidas pela MTI,Adesão ao LOTE 1 ARP REDHAT; ,01/03/2024,31/07/2025,,EM ANDAMENTO,"70,00%","TR de Adesão finalizada, aguardando abertura do processo no Sigadoc.

Monitoramento de Junho: 
Processo de Adesão a Ata de Registro de Preços a iniciar. 
Monitoramento de Julho: 
aguardando suplementação Orçamentária. Somente mudança de status interno. Sem evolução de atividades. 
Monitoramento de Agosto: 
Aguardando Parcer da PGE. Está critico pois o contrato vence dia 03/10. Se ficarmos descobertos, perdemos o Suporte e Garantia e desconformidade com Licenciamento. 
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGITI,,,,,
R.UGSTI.01,Insatisfação do Cliente Devido à Qualidade dos Serviços  ,Risco Estratégico,CRÍTICO,RESIDUAL,"Customizar 100% dos Formulários de Incidentes e Requisição de Serviços para áreas corretas, conforme catálogo de serviços",UGSTI,ServiceNow,"Identificar falhas e áreas de melhoria. Quando os clientes não estão satisfeitos com a qualidade dos serviços, isso pode levar à perda de fidelidade, redução de vendas e danos à reputação da empresa. ","Utilizando o contrato com a VA, - Service Now, para customização e atualização dos formulários, buscando a melhoria contínua. ",01/01/2025,31/12/2025,"R$ 17.000,00",,,,UGSTI,"74,29%",10,10,,
R.UGSTI.02,Insatisfação do Cliente Devido à Qualidade dos Serviços  ,Risco Estratégico,CRÍTICO,RESIDUAL,Garantir 75% de satisfação na entrega dos circuitos do MTI CONNECT,UGSTI,ServiceNow,"Identificar falhas e áreas de melhoria. Quando os clientes não estão satisfeitos com a qualidade dos serviços, isso pode levar à perda de fidelidade, redução de vendas e danos à reputação da empresa. ",Plano de ação mensal para avaliação das entregas dos pontos instalados. Será realizada visitas quinzenais nos pontos instalados em Cuiabá/Varzea Grande e mensais em regiões do interior do estado.,01/01/2025,31/12/2025,,,,,UGSTI,,,,,
R.UGSTI.03,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Risco Estratégico,CRÍTICO,RESIDUAL,Aperfeiçoar Processo para Elevar para 80% a resolução de incidentes dentro do SLA,UGSTI,ServiceNow,"Identificar falhas e áreas de melhoria. Quando os clientes não estão satisfeitos com a qualidade dos serviços, isso pode levar à perda de fidelidade, redução de vendas e danos à reputação da empresa. ","Utilizando o contrato com a VA - ServiceNow, realizar a customização e atualização contínua dos formulários, visando aprimorar a experiência do usuário e a eficiência dos processos. O acompanhamento constante dos incidentes, com comunicação diária com os Gerentes Operacionais para garantir a resolução ágil e eficaz das demandas. A busca pela melhoria contínua é mantida por meio da análise e implementação de melhorias nas funcionalidades do sistema.",01/01/2025,31/12/2025,"R$ 17.000,00",,,,UGSTI,,,,,
R.UGSTI.04,Parada de Firewall (UGGDC),Operacional - Segurança da Informação,MODERADO,RESIDUAL,Fazer cópias quinzenais das VMs que hospedam a ferramenta; Monitorar status de funcionamento dos firewalls gerenciados pela GSUP,GSUP,Vcenter MTI,Para ter como restaurar em caso de dano no ambiente original; Para acompanhar a disponibilidade dos firewalls,"Registrando chamado para a equipe que gere a Vcenter que hospeda a solução para agendar a execução do procedimento mensalmente; Através do acompanhamento de disponibilidade de funcionamento dos firewalls, gerados pela monitoria do Zabbix.
",01/01/2024,31/12/2024,,EM ANDAMENTO,"75,00%","Monitoramento de Junho: 
<<informar o status no mês>>
Monitoramento de Julho: 
Backups realizados, pela GSUP.
Monitoramento de Agosto: 
Backups realizados, pela GSUP.
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGSTI,,,,,
R.UGSTI.05,Parada do Servidor do Antivirus (UGGDC),Operacional - Segurança da Informação,ALTO,RESIDUAL,Fazer cópias mensais das VMs que hospedam a ferramenta,GSUP,Vcenter MTI,Para ter como restaurar em caso de dano no ambiente original. Assegurar o bom funcionamento da ferramenta e evitar que a ferramenta fique sem analista para futuras manutenções e/ou atualizações.,"Registrando chamado para a equipe que gere a Vcenter que hospeda a solução para agendar a execução do procedimento mensalmente
",01/01/2024,31/12/2024,,EM ANDAMENTO,"75,00%","Monitoramento de Junho: 
Backup VM realizados.
Monitoramento de Julho: 
Backup VM realizados.
Monitoramento de Agosto: 
Backup VM realizados.
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGSTI,,,,,
R.UGSTI.06,Baixa adesão Suporte do Google Workspace,Operacional,ALTO,RESIDUAL,Capacitar técnicos e analistas em trilhas de conhecimento das ferramentas do Google Workspace ,UGSTI,MTI,Assegurar o bom funcionamento da solução e prestar um melhor atendimento aos usuários sobre as ferramentas disponibilizadas pela solução de colaboração,Através da realização de treinamentos e compartilhamento de conhecimento dentro das equipes  conforme o plano de capacitação da MTI e busca de auxílio por parte da parceria Google,01/01/2024,01/07/2024,,EM ANDAMENTO,"60,00%","Monitoramento de Junho: 
Treinamentos e alinhamentos de repasse de informação, realizados.
Monitoramento de Julho: 
Equipe está realizando os treinamentos.
Monitoramento de Agosto: 
Equipe está realizando os treinamentos.Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGSTI,,,,,
R.UGSTI.07,Parada de ativos de rede da MTI (ex: switches),Operacional,ALTO,RESIDUAL,Monitorar proativamento os status de funcionamento dos ativos de rede da MTI,GSUP,MTI,Para acompanhar a disponibilidade dos ativos de rede,"Através do acompanhamento de disponibilidade de funcionamento dos ativos de rede, gerados pela monitoria do Zabbix",01/01/2024,31/12/2024,,EM ANDAMENTO,"75,00%","Monitoramento de Junho: 
Monitoramento realizado;
Monitoramento de Julho: 
Monitoramento realizado pela GSUP.
Monitoramento de Agosto: 
Monitoramento realizado pela GSUP.
Monitoramento de Setembro: 
<<informar o status no mês>>
Monitoramento de Outubro: 
<<informar o status no mês>>
Monitoramento de Novembro: 
<<informar o status no mês>>
Monitoramento de Dezembro: 
<<informar o status no mês>>",UGSTI,,,,,
