CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,RISCO INERENTE,RISCO RESIDUAL,RISCO DE SEGURANÇA DA INFORMAÇÃO - SI,O QUE,QUEM,QUAL ATIVO CRÍTICO AFETADO PELO RISCO?,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
R.UGPES.07,Não realizar o programa de Qualidade de Vida,OPERACIONAL,MODERADO,,NÃO,Executar o programa de qualidade de vida,Ana Flávia,MTI,Cumprir o Programa de Qualidade de Vida,Executar as ações que estão elecandas no Programa de Qualidade de Vida,2/1/2024,31/12/2024,,CONCLUÍDA,"100,00%","
100 % DA META ALCANÇADA ATÉ 30/11/2024

QUALIDADE DE VIDA

Janeiro: 2
Campanha do Janeiro Branco - diversos conteúdos elaborados pelo psicólogo JONATAS, divulgados pela ASSCOM sobre o tema e finalizando na última sexta do mês com uma palestra sobre o tema e ginástica laboral todos vestidos com uma peça de roupa branca
Upgrade da Saúde: Projeto vida saudável - bioimpedância
 Fevereiro – 2 
Palestra Assédio Moral - entenda mais sobre o assunto e também divulgação de conteúdos sobre o tema roxo e laranja
Upgrade da Saúde: Projeto vida saudável - bioimpedância
Março
Dia internacional da mulher, entrega de bombom e mensagens para as mulheres da MTI, Campanha da Páscoa para crianças carentes com TEA.
Upgrade da Saúde: Projeto vida saudável - bioimpedância
Avaliação capilar e massagem craniana oferecida pela empresa mais cabelo
Doação de Sangue em Parceria com a Casa Civil
AbriL
Abril Verde - Informativos durante a semana sobre o tema
Conscientização sobre o autismo - Ginástica laboral com os balões verde e azul
Projeto Vida Saudável - SEPLAG - Exame de bioimpedância
Mais Cabello - Avaliação e Massagem Capilar
Maio
Alerta para doenças inflamatórias intestinais - Ginástica laboral com os balões amarelo e roxo
Projeto Vida Saudável - SEPLAG - Exame de bioimpedância
UPGRADE DA SAÚDE - Aferição de Pressão Arterial e Teste Glicêmico
Mais Cabello - Avaliação e Massagem Capilar
Comemoração do dia das Mães - coffee break e palestra - A importância da auto valorização da Mulher e Mãe
junho
almoço junino e laboral coletiva tema junino
Campanha Junho VERMELHO (doação de sangue)
Projeto Vida Saudável - SEPLAG - Exame de bioimpedância
UPGRADE DA SAÚDE - Aferição de Pressão Arterial e Teste Glicêmico
Julho
Contatos com entidades/órgãos para realização de convênios
Atualização calendário de ações de 2024
Atualização cronograma de palestrantes e realização do Momento de Espiritualidade
Realização do Upgrade da Saúde (Bioimpedância Seplag e Ginástica Laboral ( Setores e Coletiva)
Orientações Credenciamento Sesc
Encaminhamento para os colaboradores para autorização e foto Tempo de Serviço
Relação de aniversariantes de Julho (ASSCOM – DAFI – DTIC)
Relação de Tempo de Serviço Julho (ASSCOM)
Atualização Quem é Quem (ASSCOM)
Divulgação/Boas Vindas Novos colaboradores (ASSCOM)
Agosto
Contatos com novas entidades/órgãos para realização de convênios
Atualização cronograma de palestrantes e realização do Momento de Espiritualidade
Realização do Upgrade da Saúde (Bioimpedância Seplag e Ginástica Laboral ( Setores e Coletiva)
Orientações Credenciamento Sesc
Encaminhamento para os colaboradores para autorização e foto Tempo de Serviço
Relação de aniversariantes de agosto (ASSCOM – DAFI – DTIC)
Relação de Tempo de Serviço Agosto (ASSCOM)
Atualização Quem é Quem (ASSCOM)
Realização evento em comemoração ao dia dos PAIS
Participação na Elaboração do Programa de Sustentabilidade MTI - MTIGreen - 
Divulgação/Boas Vindas Novos colaboradores (ASSCOM) "" 
setembro
Contatos com novas entidades/órgãos para realização de convênios Atualização cronograma de palestrantes e realização do Momento de Espiritualidade Realização do Upgrade da Saúde (Bioimpedância Seplag e Ginástica Laboral ( Setores e Coletiva) Encaminhamento para os colaboradores para autorização e foto Tempo de Serviço Relação de aniversariantes de Setembro (ASSCOM – DAFI – DTIC) Relação de Tempo de Serviço Setembro (ASSCOM) Atualização Quem é Quem (ASSCOM) Realização evento em comemoração ao dia dos PAIS Participação na Elaboração do Programa de Sustentabilidade MTI - MTIGreen - Realização da 3a. Semana da Integridade Realização da roda de conversa: Setembro amarelo: Nenhuma tempestade dura para sempre.
Outubro
Contatos com novas entidades/órgãos para realização de convênios
Atualização cronograma de palestrantes e realização do Momento de Espiritualidade
Realização do Upgrade da Saúde (Bioimpedância Seplag e Ginástica Laboral ( Setores e Coletiva)
Orientações Credenciamento Sesc
Encaminhamento para os colaboradores para autorização e foto Tempo de Serviço
Relação de aniversariantes de outubro (ASSCOM – DAFI – DTIC)
Relação de Tempo de Serviço Outubro (ASSCOM)
Atualização Quem é Quem (ASSCOM)
Realização evento Outubro Rosa - palestra sobre o tema
Participação na Elaboração do Programa de Sustentabilidade MTI - MTIGreen -
Divulgação/Boas Vindas Novos colaboradores (ASSCOM)
Participação da reunião comissão A3P
Abertura de convênio com escolas particulares
Novembro/2024
Palestra: Novembro azul - 62 participantes
UPgrade Saúde, ginástica laboral:142
Assistente Social: 01
02 Convênios: Escola Farina e Colégio Master
Momento de espiritualidade
Relação de aniversariantes de Novembro (ASSCOM – DAFI – DTI)
Atendimento psicológico: 04
Atualização Quem é Quem (ASSCOM)
Cronograma Ações/Datas Comemorativas MTI 2025
Cronograma Momento de Espiritualidade 2025
Cronograma Projeto Vida Saudável 2025 Seplag (Exame Bioimpedância)
Cronograma Posto Itinerante MT Saúde 2025

DEZEMBRO
Lançamento do projeto LUnnar - recolhimento de embalagens aerosol - sustentabilidade e apoio a proteção dos animais , Momento de espiritualidade Relação de aniversariantes de Dezembro (ASSCOM – DAFI – DTI) Atendimento psicológico: 04 Atualização Quem é Quem (ASSCOM) - Confraternização DAFI







",UGPES,,,
R.UGPES.08,"Não gerenciar eleição da Comissão Interna de Prevenção
 de Acidentes (CIPA)",OPERACIONAL,MODERADO,,NÃO,Gerenciar a eleição da CIPA,Ana Flávia,MTI,Cumprir a Legislação vigente,"1 - A inscrição para o registro de candidatura dos colaboradores EFETIVOS da MTI/ 


2 - divulgar a lista dos candidatos à CIPA;
3) Emitir Ofício para informar o SINDPD sobre a eleição da CIPA na MTI, incluindo a relação dos candidatos e o cronograma da eleição;
4) Liberar o prazo para que os camdidatos realizem a campanha  CIPA, pelo meios de comunicação oficiais da empresa; 
5) Reazlizar a Eleição;
6) Divulgar o Resultado; 
7) Solcitar a Publicação no Diário Oficial
",01/09/2024,30/9/2024,,CONCLUÍDA,"100,00%","
100% DA META ALCANÇADA

A Eleição da CIPA é realizada no mês 09/2024

- Portaria Publicada no DO e na INTRANET",UGPES,,,
R.UGPES.09,Não realizar a contratação de jovens aprendizes,OPERACIONAL,MODERADO,,NÃO,Realizar o processo seletivo,Ana Flávia,MTI,Cumprir a Legislação vigente (cota),"1) Realizar cálculo  em conformidade com  a Lei (quantitativo)
2) Formar Comissão;
3) Acompanhar a  comissão  no processo seletivo",01/09/2024,30/9/2024,,EM ANDAMENTO,"40,00%","- O processo seletivo deverá ser  realizado até 12/2024
- Publicação da Portaria desegnando os membros da Comissão
- Elaboramos o Edital que já foi envido para UNIJUR e PGE no entanto tivemos que remeter a SEPLAG . Estamos aguardando retorno ",UGPES,,,
R.UGPES.10,Não contratação de apoio externo para ações de transformação cultural,OPERACIONAL,ALTO,,NÃO,Contratar empresa para realizar as ações de transformação cultural,Ana Flávia,MTI,Apoiar a transformação cultural,Elaborar  Termos de Referencia conforme previsto  Plano de Capacitação  e da competências comportamentais identificadas no programa de Gestão por competências,01/04/2024,31/12/2024,,CONCLUÍDA,"100,00%"," 
META 2024 70%
META ALCANÇADA ATÉ 30/11/2024 
88,30%

Do Montante de 171 Servidores avaliados no Programa Gestão Por Competências 2023/2024: 


171 Servidores com os PDIs Elaborados
150 Servidores com os PDIs concluidos de janeiro a dezembro (acumulado)
006 Servidores com os PDIs em andamento 
001 Servidores com os PDIs com iniciativas Cadastradas
014 Servidores com os PDIs incorretos sem iniciativa (criaram PDI, mas não fizeram nenhuma ação)
 
 
PDIs concluidos no mês 12/2024 = 01 colaborador


PDI - DEZEMBRO/2024",UGPES,,,
R.UGPES.11,Não Gerenciar folha de Pagamento e  Encargos,CONFORMIDADE,CRÍTICO,,SIM,"1.        Implementação de Controle de Qualidade: Realizar cadastros com cautela, evitando registros de informações incorretas e garantindo conformidade com a regulamentação vigente (ACT/CLT).
2.        Capacitação da Equipe: Fornecer treinamento adequado aos funcionários responsáveis pela entrada de dados na folha de pagamento, assegurando que estejam familiarizados com os procedimentos corretos e as melhores práticas para evitar erros.
3.        Automação de Processos: Utilizar sistemas automatizados e integrados de gerenciamento de folha de pagamento, reduzindo a necessidade de inserção manual de dados e minimizando a probabilidade de erros.
4.        Implementação de Verificações Duplas: Estabelecer um processo de verificação dupla, onde um segundo membro da equipe revise os dados inseridos na folha de pagamento para identificar e corrigir possíveis erros antes da emissão dos pagamentos.
5.        Cálculo de Salários e Benefícios: Realizar os cálculos dos salários dos colaboradores, considerando horas trabalhadas, horas extras, sobreaviso e benefícios como vale-transporte e vale-alimentação, auxilio creche, PCD e outros.
6.        Descontos e Deduções: Aplicar descontos legais, como INSS, imposto de renda retido na fonte (IRRF) e contribuições sindicais, além de descontos autorizados pelos colaboradores, como plano de saúde e empréstimos consignados.
7.        Registro e Controle de Informações: Manter registros precisos e atualizados dos dados dos colaboradores, incluindo informações pessoais, contratuais, salariais e de benefícios.
8.        Conformidade Legal: Garantir o cumprimento das normas trabalhistas, previdenciárias e fiscais relacionadas à folha de pagamento, como emissão de guias de recolhimento de impostos e contribuições.
9.        Teto Constitucional: Verificar no fechamento da folha a questão do Teto Constitucional.
10.        Relacionamento com Órgãos Governamentais: Intermediar e comunicar-se com órgãos governamentais, como Ministério do Trabalho, Receita Federal e INSS, para cumprir obrigações legais e enviar informações exigidas por esses órgãos.
11.        Auditoria e Controle Interno: Realizar auditorias internas para garantir a precisão e integridade dos registros da folha de pagamento, bem como o cumprimento das políticas e procedimentos internos da empresa.
",Rogério,MTI,"


1) Pagamentos incorretos aos funcionários, levando a insatisfação e possível perda de talentos.
2) Conflitos e disputas com funcionários devido a discrepâncias nos pagamentos.
3) Possíveis implicações legais e regulatórias decorrentes de não conformidade com obrigações trabalhistas e fiscais.
Impacto negativo na reputação da empresa e na confiança dos funcionários na gestão financeira da organização.

4 Evitar multas e ações trabalhistas, bem apontamentos dos ógãos de controle",Cumpriur a legislação vigente e manter as informações no sistemas protheus atualizadas,01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%","1) Adimila e Osmar serão responsáveis por lançar os dados na folha de pagamento, enquanto Rogério realizará a conferência da mesma.

2) Em 26/07/2024, durante uma conversa com o Diretor Administrativo, solicitei a possibilidade de conseguir um empregado público cedido para ser lotado na GPMM, com o objetivo de colaborar na execução da folha de pagamento. Em circunstâncias eventuais, como atestado médico, férias, licença assiduidade e outras, essa pessoa também poderá substituir Rogério.


3) A folha de pagamento 11/2024 passou pela auditoria da UGCOF e não houve nenhum apontamento e erros ",UGPES,,,
R.UGPES.12,Não gerenciar ponto eletrônico e realizar debidos indevidos;,CONFORMIDADE,ALTO,,NÃO,"Implementar Políticas Claras de Controle de Ponto: Estabelecer políticas claras e procedimentos para o registro e controle do ponto eletrônico, definindo regras específicas para horas de trabalho, intervalos e horas extras.

Automatizar o Registro de Ponto: Utilizar sistemas automatizados de registro de ponto eletrônico que garantam a precisão e integridade dos dados, minimizando a possibilidade de erros humanos.

Monitorar e Revisar Regularmente os Registros de Ponto: Realizar auditorias periódicas nos registros de ponto para identificar e corrigir possíveis discrepâncias ou irregularidades, garantindo a conformidade com as políticas estabelecidas.

Fornecer Treinamento e Conscientização: Capacitar os funcionários e gestores sobre as políticas e procedimentos de registro de ponto, destacando a importância da precisão e integridade dos registros para evitar descontos indevidos.

Implementar Controles de Aprovação: Estabelecer um processo de revisão e aprovação dos registros de ponto por parte dos gestores, garantindo que qualquer alteração ou desconto seja justificado e autorizado adequadamente.",Rogério,MTI,"Reduzir o descontentamento dos Funcionários: Descontos indevidos nos salários podem levar a insatisfação e desmotivação entre os funcionários, afetando o clima organizacional e a produtividade.

Riscos Legais e Trabalhistas: A realização de descontos indevidos nos salários pode resultar em processos judiciais, multas e penalidades por não conformidade com as leis trabalhistas e regulamentações vigentes.

Melhorar a Reputação da Empresa: Práticas inadequadas de gestão de ponto podem afetar negativamente a reputação da empresa, causando danos à imagem e credibilidade perante clientes, investidores e comunidade em geral.",Realizando a Gestão de Ponto via sistemas Protheus,01/03/2024,31/12/2024,,EM ANDAMENTO,"12,21%","PERIÓDICAMENTE: 

Osmar e Eloize
a) Monitorar diariamente os registros de ponto para identificar inconsistências ou ausências não justificadas.
b) Utilizar relatórios automatizados do sistema de ponto para facilitar a análise.
c) Cobrar dos empregados e gestores:que registrem  todas as correções de ponto de forma transparente e auditável
d) Manter uma comunicação contínua com os empregados sobre a importância do registro correto de ponto e as consequências de não cumprir as políticas.
e) Enviar lembretes periódicos sobre a política de ponto e procedimentos de correção.
f) Realizar auditorias periódicas para garantir que as práticas de registro de ponto estão sendo seguidas corretamente.
g) Verificar a conformidade com as leis trabalhistas e regulamentos internos.
h) Gerar e revisar relatórios mensais de ponto para análise de tendências, como padrões de absenteísmo e horas extras.
i) Utilizar esses relatórios para ajustes de políticas e identificação de necessidades de recursos adicionais.
j) Integrar os dados de ponto com o sistema de folha de pagamento para garantir que os cálculos de salários, horas extras e outras compensações sejam precisos.
l) Fornecer suporte contínuo para resolver problemas ou dúvidas dos empregados sobre o sistema de ponto.
m) Recolher feedback dos empregados para melhorias no processo de gestão de ponto.
n) Manter uma documentação completa e arquivar todos os registros de ponto e relatórios de auditoria, conforme exigido pela legislação.
o) Criar um manual detalhado de políticas e procedimentos de ponto.
P) Tivemos um treinamento via meet sobre a portaria de ponto e da inserção de informações no Portal RH
",UGPES,,,
R.UGPES.13,Não Monitorar a privacidade de dados,CONFORMIDADE,ALTO,,SIM,"Desenvolver Políticas de Privacidade de Dados Específicas: Criar políticas de privacidade de dados específicas para a Unidade de Gestão de Pessoas, abordando como os dados dos funcionários são coletados, armazenados, processados e protegidos.


Fornecer Treinamento Específico em Privacidade de Dados: Oferecer treinamento especializado em privacidade de dados para os funcionários da Unidade de Gestão de Pessoas, destacando a importância da proteção dos dados dos funcionários e os procedimentos corretos para lidar com informações confidenciais.


Implementar Controles de Acesso e Autorização: Estabelecer controles rigorosos de acesso e autorização para garantir que apenas funcionários autorizados tenham acesso aos dados pessoais dos funcionários, de acordo com as necessidades de trabalho.


Realizar Avaliações de Impacto de Privacidade de Dados: Conduzir avaliações de impacto de privacidade de dados para identificar e avaliar os riscos associados ao processamento de dados pessoais na Unidade de Gestão de Pessoas e implementar medidas de mitigação apropriadas.


Monitorar o Cumprimento da LGPD: Monitorar regularmente o cumprimento das disposições da LGPD e outras regulamentações relevantes de proteção de dados na Unidade de Gestão de Pessoas, garantindo conformidade com as leis e regulamentos aplicáveis.",Rogério,MTI,"Essas medidas visam criar um ambiente seguro e confiável para o tratamento dos dados pessoais dos funcionários na Unidade de Gestão de Pessoas, minimizando os riscos de violações de privacidade ou não conformidade com regulamentações de proteção de dados.","Designar um profissional de privacidade de dados na Unidade de Gestão de Pessoas para liderar as iniciativas relacionadas à proteção de dados dos funcionários.
Estabelecer procedimentos claros para garantir a segurança e confidencialidade dos dados dos funcionários, incluindo a utilização de medidas técnicas e organizacionais apropriadas.
Manter registros detalhados das atividades de processamento de dados dos funcionários e garantir a transparência no tratamento desses dados.
Implementar políticas de retenção de dados para garantir que os dados dos funcionários sejam armazenados apenas pelo tempo necessário e de acordo com as obrigações legais e regulatórias.
Ao adotar essas medidas de mitigação, a Unidade de Gestão de Pessoas pode reduzir significativamente os riscos associados à falta de monitoramento da privacidade de dados dos funcionários e garantir a proteção adequada das informações confidenciais.",01/03/2024,31/12/2024,,EM ANDAMENTO,"12,21%","1) As atividades estão sendo realizadas pela GPMM e GACD

2) Estamos em processo de mapemaneto do processos - LGPD

LGPD NOW: Mapeamento dos Processos de dados da Unidade e Resposta ao questionários de dados
 📑Atualizado dos  Contratos e Aditivos de Trabalho em conformidade com a LGPD
",UGPES,,,
R.UGPES.14,Não cumprir a Legislação (CLT/SST/ACT/CF-88),CONFORMIDADE,MODERADO,,NÃO,"Manter-se Atualizada sobre a Legislação Pertinente:
Acompanhar e entender as mudanças na legislação trabalhista, de SST, ACT e CF-88 para garantir conformidade contínua.

Implementar Políticas e Procedimentos em Conformidade com a Legislação:
Desenvolver e implementar políticas e procedimentos que estejam alinhados com os requisitos legais e regulamentares aplicáveis.

Garantir a Conformidade nos Processos de Recrutamento e Seleção:
Assegurar que os processos de recrutamento e seleção respeitem os princípios da igualdade de oportunidades e não discriminação, conforme previsto na legislação.

Oferecer Treinamento sobre a Legislação Trabalhista e de SST:
Fornecer treinamento regular para funcionários e gestores sobre os requisitos da CLT, SST, ACT e CF-88, bem como sobre as políticas e procedimentos internos relacionados.

Implementar Sistemas de Monitoramento e Controle:
Estabelecer sistemas e procedimentos para monitorar e garantir o cumprimento das leis trabalhistas, de SST, ACT e CF-88 em toda a organização.",Rogério,MTI,"Cumprir a legislação trabalhista, de SST, ACT e CF-88 é fundamental para garantir um ambiente de trabalho justo, seguro e legalmente adequado.

O não cumprimento da legislação pode resultar em penalidades legais, multas e litígios trabalhistas, que podem ter impactos financeiros significativos na organização.

Além disso, manter a conformidade com a legislação ajuda a proteger a reputação e a credibilidade da empresa perante funcionários, clientes, acionistas e outras partes interessadas.","Acompanhar as  publicações e alterações nas Legislação 

Designar um profissional qualificado ou equipe responsável por acompanhar e interpretar a legislação trabalhista e de SST.

Realizar auditorias internas regulares para avaliar a conformidade com a legislação e identificar áreas de não conformidade.

Estabelecer canais de comunicação eficazes para que os funcionários possam relatar preocupações relacionadas ao cumprimento da legislação.

Colaborar com departamentos jurídicos e consultores especializados, conforme necessário, para garantir que as políticas e procedimentos estejam em conformidade com a legislação aplicável.",01/03/2024,31/12/2024,,EM ANDAMENTO,"12,21%",Acompanhar as mudanças na Legislação pelos meios disponiveis (internet) e se necessário participar de cursos de aperfeiçoamento,UGPES,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGGDI.01,A. Não priorizar a continuidade de negócio dos produtos de Identificação Digital do Cidadão da Plataforma de Governo Digital,OPERACIONAL,,CRÍTICO,NÃO,Priorização da continuidade de negócio dos produtos de Identificação Digital do Cidadão da Plataforma de Governo Digital,UGGDI,UGGDI,"Por se tratar de produtos altamente estratégicos, diretamente ligados à agenda estratégica de Governo Digital, os mesmos devem ser priorizados e estruturados para sua continuidade","1. Preparando uma ou mais pessoas de carreira da MTI que esteja engajada e comprometida e que tenha conhecimento técnico e habilidade conduzir a continuidade dos produtos

2. Monitorando a continuidade da parceria",01/03/2024,31/12/2024,,EM ANDAMENTO,"20,00%","PONTO DE ATENÇÃO: MT.id sendo mantido pelo time Mandaloriano, é necessário mudar para o time Digital ID. Após a correção do problema na validação da assinatura do mt.id pela SIGADOC, será realizado o planejamento para separação do mt.id do backend do MT Cidadão e repasse de conhecimento para o time Digital Id.
Foi criada ug de arquitetura que está apoiando da evolução e continuidade dos produtos
Esmael está coordenando os produtos: MT Login, MTI Valida
Dedé está atuando no Prova de Vida, MT Login e MTI Valida
Foi iniciada a transferência de conhecimento do ambiente de infra do MTI valida para a equipe da MTI
Implementado monitoramento da VMs do MTI Valida no Zabbix. Foi solicitado a implementação do monitoramento dos pods openshift do MTI Valida no Kuma.
Está sendo negociado com a SEPLAG um contrato de sustentação da plataforma de governo digital",UGGDI,"19,50%",4,4
R.UGGDI.02,B. Não priorizar a continuidade de negócio dos produtos dos Canais de Atendimento Digitais da Plataforma de Governo Digital,OPERACIONAL,,CRÍTICO,NÃO,Priorização da continuidade de negócio dos produtos de dos produtos dos Canais de Atendimento Digitais da Plataforma de Governo Digital,UGGDI,UGGDI,"Por se tratar de produtos altamente estratégicos, diretamente ligados à agenda estratégica de Governo Digital, os mesmos devem ser priorizados e estruturados para sua continuidade","1. Preparando uma ou mais pessoas de carreira da MTI que esteja engajada e comprometida e que tenha conhecimento técnico e habilidade conduzir a continuidade dos produtos

2. Monitorando a continuidade da parceria",01/03/2024,31/12/2024,,EM ANDAMENTO,"16,00%","PONTO DE ATENÇÃO: O PO do MT Cidadão é o Adauto da RW3
Novo canal de atendimento ao cidadão: Chatbot e Whatsapp. Está sendo acompanhado pelo analista temporário Marcelo Mialho.
Está sendo negociado com a SEPLAG um contrato de sustentação da plataforma de governo digital",UGGDI,,,
R.UGGDI.03,C. Indisponibilidade dos produtos de Identificação Digital do Cidadão da Plataforma de Governo Digital,ESTRATÉGICO,CRÍTICO,,NÃO,Melhorar a disponibilidade dos produtos de Identificação Digital do Cidadão da Plataforma de Governo Digital,UGGDI,UGGDI,"Por se tratar de produtos altamente estratégicos, diretamente ligados à agenda estratégica de Governo Digital, os mesmos devem estar disponíveis 24x7","1. Preparando uma ou mais pessoas de carreira da MTI que esteja engajada e comprometida e que tenha conhecimento técnico e habilidade conduzir a continuidade dos produtos
2. Monitoramento 24x7 (contrato de consumo interno parceria TD)
3. Redundancia do ambiente tecnológico",01/03/2024,31/12/2024,"Valor do contrato consumo: R$ 4.778.935,20",EM ANDAMENTO,"19,00%","Projeto de atualização e migração do MT Login em fase de homologação (PRJ0010450). Previsão para migração em produção: 15/12/2024
Monitoramento das VMS do MTI Valida já implementado
Os relatórios de disponibilidade do MT Login são gerados mensalmente para composição do indicador estratégico",UGGDI,,,
R.UGGDI.04,D. Indisponibilidade dos produtos dos Canais de Atendimento Digital da Plataforma de Governo Digital,ESTRATÉGICO,CRÍTICO,,NÃO,Melhorar a disponibilidade dos produtos dos Canais de Atendimento Digital da Plataforma de Governo Digital,UGGDI,UGGDI,"Por se tratar de produtos altamente estratégicos, diretamente ligados à agenda estratégica de Governo Digital, os mesmos devem estar disponíveis 24x7","1. Preparando uma ou mais pessoas de carreira da MTI que esteja engajada e comprometida e que tenha conhecimento técnico e habilidade conduzir a continuidade dos produtos
2. Monitoramento 24x7 (contrato de consumo interno parceria TD)
3. Redundancia do ambiente tecnológico",01/03/2024,31/12/2024,"Valor do contrato consumo: R$ 4.778.935,20",EM ANDAMENTO,"23,00%","Monitoramento do Portal e MT Cidadão sendo realizado e acompanhado mensalmente e são utilizados na composição do indicador estratégico
Novo canal de atendimento ao cidadão: Chatbot e Whatsapp. Necessário implementar monitoramento do Chatbot e Whatsapp.",UGGDI,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGACO.01,Atraso nos prazos previstos para a conclusão das aquisições,OPERACIONAL,,ALTO,,Instrução correta dos processos,GCTO E GAQS,MTI,Para que os processos não retorne por diversas vezes as unidades demandantes para correção,1 - Elaboração do Check List dos documentos necessários para instrução e mapeamento do processo                                                                                   ,01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,100%,,UGACO,"100,00%",7,8
R.UGACO.02,processos iniciados sem previsão orcamentária (PTA),OPERACIONAL,,ALTO,,"Cumprimento das Legislações (LRF, Decreto 1.525/2022/, RLC...",UGACO,MTI,A unidade demandante deve saber se o produto ou o serviço a ser adquirido foi incluido no PTA e se existe orçamento para a aquisição,1 - Disparar CI com a informação e encaminhar às areas,01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,UGACO,,,
R.UGACO.03,Prorrogações contratuais realizadas com o prazo exíguo ou correndo risco de perder o prazo para prorrogação,OPERACIONAL,,ALTO,,Evitar a perda do contrato por desídia,UGACO,MTI,Perda das prorrogações dos contratos geram demandas novas com custos elevados e tempo para conclusão,"1 -  A GCTO comunicará mensalmente (12 meses antes de vencer )  as areas demandantes sobre os vencimentos dos contratos e o check list com os documentos necessários para as  prorrogações, via SIGADOC.                                                                           2. 06 Meses antes do vencimento dos contratos , a GCTO intensifica o contato com area para alertar sobre os vencimentos dos contratos, via SIGADOC e  caso não seja respondidoo prazo máximo de 60dias do vencimento , então realiza o item 3.                                                                                 .                       3 Cobranças semanais das Unidades com cópia para os Chefes imediatos e Presidência para o cumprimento da demanda no prazo, realizadas por e-mail ou CI",01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,UGACO,,,
R.UGACO.04,Realizar contratações emergenciais,OPERACIONAL,,ALTO,,Evitar a perda dos contratos que devem ser prorrogados e planejar as aquisições em tempo hábil,UGACO,MTI,Contratos emergenciais devem ser realizados somente em casos estritamente necessários e com justificativa plausível,1 - Demandar CI para as Unidades com as recomendações.,01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,UGACO,,,
R.UGACO.05,Fiscalização contratal ineficiente,OPERACIONAL,,CRÍTICO,,Evitar que os contratos sejam mal fiscalizados,GCTO,MTI,"As contratações devem ser monitoradas e acompanhadas, visando a entrega de um excelente serviço ou produto",1 - Curso de Capacitação em fiscalização de contratos (encaminhado e-mail para os responsáveis para arealização do curso que foi disponibilizado gratuitamente)                                                                                                            2 - Elaborar cartilha juntamente a UNISECI m para orientações.                                                                                                                                                                                                                                                                                                                                                                                      3.Portaria com após a publicação do novo RLC. ,01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,UGACO,,,
R.UGACO.06,"Receber, para si ou para outrem, vantagem(econômica ou não), direta ou indireta, por ação ou omissão decorrente das atribuições do Agente Público",OPERACIONAL,,ALTO,,Receber vantagens financeiras,UGACO,MTI,"Evitar qualquer Infração Penal prevista em lei, com sanções administrativas e Penais.","1 - Atuar conforme principios da Legalidade, Imparcialidade, Moralidade, Publicidade e Ética",01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,UGACO,,,
R.UGACO.07,Baixo engajamento das equipes internas,ESTRATÉGICO,,ALTO,,"Demora na Analise de processos, conclusão e finalização",UGACO,MTI,Ausencia de politicas que incentivem a produtividade,1 - Estrutura o setor com pessoa com perfil pertinente a UGACO .                                                                                                      2. Capacitação da equipe .                                                                                                           3. Reconhecer e incentivar colaboradores a atingirem suas metas e obrigações diarias.                                                                                                                                                                                 ,01/01/2024,31/12/2024,"R$ 0,00",CONCLUÍDA,"100,00%",,UGACO,,,
