OBJETIVOS | Indicadores e Metas,Riscos Estratégicos,RESULTADO-CHAVE | INICIATIVA [REI],REI - ID,DIRETORIA,Unidade,PRAZO,MÉTRICA,SITUAÇÃO TRIMESTRE 1,SITUAÇÃO TRIMESTRE 2,SITUAÇÃO TRIMESTRE 3,SITUAÇÃO TRIMESTRE 4,SITUAÇÃO GERAL,OBSERVAÇÕES
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,CONCLUIR O MAPEAMENTO DOS PROCESSOS E REVISAR OS JÁ MAPEADOS,04,DAFI,UGPES_GACD,31/12/2024,MAPEAMENTO E REVISÃO  DE PROCESSOS REALIZADOS,"00% DE EXECUÇÃO

(Previsão são 11 processos para 2024)

1 - POP Escala de Férias / PMP Escala de Férias
2 - POP Cadastro de atestado médico
3 - POP Bloqueio de Acessos AD e E-mail
4 - POP Entrada de Notas Fiscais no Sistema SIAG C
5 - POP Elaborar Termo de Cessão
6 - POP Progressão Funcional de Classe
7 - POP Progressão de Referência Vertical por Antiguidade
8 - POP Progressão de Referência Vertical por Merecimento
9 - PMP Manual de orientação TCE – Concursos e Processos Seletivos
10 - PMP - Gerenciar Plano de Saúde Médico, Hospitalar e Odontológico
11 - PMP - Folha de Pagamento Processada




","50% DE EXECUÇÃO

(Previsão são 11 processos para 2024)

1 - POP Escala de Férias / PMP Escala de Férias
2 - POP Cadastro de atestado médico
3 - POP Bloqueio de Acessos AD e E-mail
4 - POP Entrada de Notas Fiscais no Sistema SIAG C
5 - POP Elaborar Termo de Cessão
6 - POP Progressão Funcional de Classe
7 - POP Progressão de Referência Vertical por Antiguidade
8 - POP Progressão de Referência Vertical por Merecimento
9 - PMP Manual de orientação TCE – Concursos e Processos Seletivos
10 - PMP - Gerenciar Plano de Saúde Médico, Hospitalar e Odontológico
11 - PMP - Folha de Pagamento Processada




","

50% DE EXECUÇÃO

(Previsão são 11 processos para 2024)

1 - POP Escala de Férias / PMP Escala de Férias
2 - POP Cadastro de atestado médico
3 - POP Bloqueio de Acessos AD e E-mail
4 - POP Entrada de Notas Fiscais no Sistema SIAG C
5 - POP Elaborar Termo de Cessão
6 - POP Progressão Funcional de Classe
7 - POP Progressão de Referência Vertical por Antiguidade
8 - POP Progressão de Referência Vertical por Merecimento
9 - PMP Manual de orientação TCE – Concursos e Processos Seletivos
10 - PMP - Gerenciar Plano de Saúde Médico, Hospitalar e Odontológico
11 - PMP - Folha de Pagamento Processada




","


100% DE EXECUÇÃO

 11 PROCESSOS MAPEADOS

1 - POP Escala de Férias / PMP Escala de Férias
2 - POP Cadastro de atestado médico
3 - POP Bloqueio de Acessos AD e E-mail
4 - POP Entrada de Notas Fiscais no Sistema SIAG C
5 - POP Elaborar Termo de Cessão
6 - POP Progressão Funcional de Classe
7 - POP Progressão de Referência Vertical por Antiguidade
8 - POP Progressão de Referência Vertical por Merecimento
9 - PMP Manual de orientação TCE – Concursos e Processos Seletivos
10 - PMP - Gerenciar Plano de Saúde Médico, Hospitalar e Odontológico
11 - PMP - Folha de Pagamento Processada




",Concluída,"META PARA 2024  100%
11 PROCESSOS MAPEADOS"
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,ELABORAR CHECK LIST PARA INSTRUÇÃO DOS PROCESSOS DE PAGAMENTO,05,DAFI,UGPES_GACD,31/12/2024,CHECK LIST ELABORADO,"
0% DE EXECUÇÃO
Priorizada para ser realizada até 31/12/2024
1) POP pagameto ELOFY
2) POP universidade Patataivas e Super estágios
3) Lua Serviços","
0% DE EXECUÇÃO
Priorizada para ser realizada até 31/12/2024
1) POP pagameto ELOFY
2) POP universidade Patataivas e Super estágios
3) Lua Serviços","
0% DE EXECUÇÃO
Priorizada para ser realizada até 31/12/2024
1) POP pagameto ELOFY
2) POP universidade Patataivas e Super estágios
3) Lua Serviços","
100% DE EXECUÇÃO
Priorizada para ser realizada até 31/12/2024
1) POP pagamento ELOFY
2) POP universidade Patativas e Super estágios
3) Lua Serviços",Concluída,"META PARA 2024
100%"
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R4_Sensibilização/motivação das equipes,EXECUTAR PROGRAMA DE INTEGRAÇÃO PARA NOVOS COLABORADORES,06,DAFI,UGPES_GACD,31/12/2024,PROGRAMA DE INTREGRAÇÃO EXECUTADO,"0% DE EXECUÇÃO

Priorizada para ser realizada até 31/12/2024","0% DE EXECUÇÃO

Priorizada para ser realizada até 31/12/2024","0% DE EXECUÇÃO

Priorizada para ser realizada até 31/12/2024","100% DE EXECUÇÃO

Realização da Integração  ",Concluída,"META PARA 2024
100%"
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3",Objetivo 3 R4_Sensibilização/motivação das equipes,EXECUTAR O PROGRAMA DE QUALIDADE DE VIDA,07,DAFI,UGPES_GACD,31/12/2024,PROGRAMA DE QUALIDADE DE VIDA EXECUTADO,"50% DE EXECUÇÃO

""Qualidade de Vida""



AbriL
Abril Verde - Informativos durante a semana sobre o tema
Conscientização sobre o autismo - Ginástica laboral com os balões verde e azul
Projeto Vida Saudável - SEPLAG - Exame de bioimpedância
Mais Cabello - Avaliação e Massagem Capilar


Maio
Alerta para doenças inflamatórias intestinais - Ginástica laboral com os balões amarelo e roxo
Projeto Vida Saudável - SEPLAG - Exame de bioimpedância
UPGRADE DA SAÚDE - Aferição de Pressão Arterial e Teste Glicêmico
Mais Cabello - Avaliação e Massagem Capilar
Comemoração do dia das Mães - coffee break e palestra - A importância da auto valorização da Mulher e Mãe

junho
almoço junino e laboral coletiva tema junino
Campanha Junho VERMELHO (doação de sangue)
Projeto Vida Saudável - SEPLAG - Exame de bioimpedância
UPGRADE DA SAÚDE - Aferição de Pressão Arterial e Teste Glicêmico""

",#REF!,"75% DE EXECUÇÃO
""Qualidade de Vida""




Julho
Contatos com entidades/órgãos para realização de convênios
Atualização calendário de ações de 2024
Atualização cronograma de palestrantes e realização do Momento de Espiritualidade
Realização do Upgrade da Saúde (Bioimpedância Seplag e Ginástica Laboral ( Setores e Coletiva)
Orientações Credenciamento Sesc
Encaminhamento para os colaboradores para autorização e foto Tempo de Serviço
Relação de aniversariantes de Julho (ASSCOM – DAFI – DTIC)
Relação de Tempo de Serviço Julho (ASSCOM)
Atualização Quem é Quem (ASSCOM)
Divulgação/Boas Vindas Novos colaboradores (ASSCOM)

Agosto
Contatos com novas entidades/órgãos para realização de convênios
Atualização cronograma de palestrantes e realização do Momento de Espiritualidade
Realização do Upgrade da Saúde (Bioimpedância Seplag e Ginástica Laboral ( Setores e Coletiva)
Orientações Credenciamento Sesc
Encaminhamento para os colaboradores para autorização e foto Tempo de Serviço
Relação de aniversariantes de agosto (ASSCOM – DAFI – DTIC)
Relação de Tempo de Serviço Agosto (ASSCOM)
Atualização Quem é Quem (ASSCOM)
Realização evento em comemoração ao dia dos PAIS
Participação na Elaboração do Programa de Sustentabilidade MTI - MTIGreen -
Divulgação/Boas Vindas Novos colaboradores (ASSCOM)

setembro
Contatos com novas entidades/órgãos para realização de convênios Atualização cronograma de palestrantes e realização do Momento de Espiritualidade Realização do Upgrade da Saúde (Bioimpedância Seplag e Ginástica Laboral ( Setores e Coletiva) Encaminhamento para os colaboradores para autorização e foto Tempo de Serviço Relação de aniversariantes de Setembro (ASSCOM – DAFI – DTIC) Relação de Tempo de Serviço Setembro (ASSCOM) Atualização Quem é Quem (ASSCOM) Realização evento em comemoração ao dia dos PAIS Participação na Elaboração do Programa de Sustentabilidade MTI - MTIGreen - Realização da 3a. Semana da Integridade Realização da roda de conversa: Setembro amarelo: Nenhuma tempestade dura para sempre.","
91,66% DE EXECUÇÃO

""Qualidade de Vida""



Outubro
Contatos com novas entidades/órgãos para realização de convênios
Atualização cronograma de palestrantes e realização do Momento de Espiritualidade
Realização do Upgrade da Saúde (Bioimpedância Seplag e Ginástica Laboral ( Setores e Coletiva)
Orientações Credenciamento Sesc
Encaminhamento para os colaboradores para autorização e foto Tempo de Serviço
Relação de aniversariantes de outubro (ASSCOM – DAFI – DTIC)
Relação de Tempo de Serviço Outubro (ASSCOM)
Atualização Quem é Quem (ASSCOM)
Realização evento Outubro Rosa - palestra sobre o tema
Participação na Elaboração do Programa de Sustentabilidade MTI - MTIGreen -
Divulgação/Boas Vindas Novos colaboradores (ASSCOM)
Participação da reunião comissão A3P
Abertura de convênio com escolas particulares


Novembro/2024
Palestra: Novembro azul - 62 participantes
UPgrade Saúde, ginástica laboral:142
Assistente Social: 01
02 Convênios: Escola Farina e Colégio Master
Momento de espiritualidade
Relação de aniversariantes de Novembro (ASSCOM – DAFI – DTI)
Atendimento psicológico: 04
Atualização Quem é Quem (ASSCOM)
Cronograma Ações/Datas Comemorativas MTI 2025
Cronograma Momento de Espiritualidade 2025
Cronograma Projeto Vida Saudável 2025 Seplag (Exame Bioimpedância)
Cronograma Posto Itinerante MT Saúde 2025",Em execução,"META PARA 2024
100%"
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 3 R4_Sensibilização/motivação das equipes,EXECUTAR  O PLANO DE CAPACITAÇÃO 2024 (anual),08,DAFI,UGPES_GACD,31/12/2024,PLANO DE CAPACITAÇÃO EXECUTADO ,"
PLANO DE CAPACITAÇÃO
EM EXECUÇÃO


O Plano de Capacitação de 2024 foi apresentado em DIREX e já foi liberado para áreas demandantes o início de sua TRs

ABRIL
Foundations of Incident Management e Advanced Topics in Incident Handling,

MAIO
Governo Digital
Formação em Métricas de Fluxo
Cursos Técnicas de Negociação, Liderança e Gestão de Vendas, Liderança e Coach, Roteirização de vendas e entregas
Seminário das Estatais
JUNHO
ORATÓRIA-COMUNICAÇÃO EFICAZ com TÉCNICAS DE PNL
AUTORESPONSABILIDADE E SUCESSO-PROMOVENDO ATITUDES PROATIVAS com TEAL",#REF!,"
PLANO DE CAPACITAÇÃO
EM EXECUÇÃO
O Plano de Capacitação de 2024 foi apresentado em DIREX e já foi liberado para áreas demandantes o início de sua TRs

JULHO
Congresso Matogrossense de Gestão de Pessoas
NO TOUR PODER E ALTA PERFORMANCE
AGOSTO
Evento Agile Trends GOV 2024, a ser realizado entre os dias 19 e 22 de Agosto de 2024, modalidade presencial.
Curso On Demand + Exame da CTFL
Certified ScrumMaster® CSM, 10(dez) vagas - Advanced Certified Scrum Master® A-CSM, 04 (quatro) vagas - Certified Scrum Product Owner® CSPO, 10 (dez) vagas - Advanced Certified Scrum Product Owner® A-CSPO, 03 (três) vagas
ITIL V4 FOUNDATION E PRACTITIONER
7º Encontro Nacional das Estatais.
SETEMBRO","PLANO DE CAPACITAÇÃO
97,93% DE EXECUÇÃO DO PLANO DE CAPACITAÇÃO APROVADO
O Plano de Capacitação de 2024 foi apresentado em DIREX e já foi liberado para áreas demandantes o início de sua TRs

OUTUBRO
AGILE BRAZIL 2024”
CONTRATAÇÃO DE Plataforma online de treinamentos com foco em infraestrutura de TI.
CURSO GESTÃO ESTRATÉGICA DE CUSTOS
INTELIGÊNCIA EMOCIONAL,
NOVEMBRO
COMUNICAÇÃO PLENA, ",Em execução,INDICADORES DE CAPACITAÇÃO
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 4 R1_Aperfeiçoar o processo de elaboração e monitoramento do PDI. ,MONITORAR A EXECUÇÃO DOS PDIs 2023/2024,09,DAFI,UGPES_GACD,31/12/2024,PDIs EXECUTADOS,"
META ALCANÇADA ATÉ 30/03/2024 
1,75% 

Do Montante de 171 Servidores avaliados no Programa Gestão Por Competências 2023/2024: 

82  Servidores estão sem PDI

89 Servidores  estão com os   PDIs Elaborados  
38 Servidores com os PDIs com iniciativas atrasadas 
48 Servidores com os PDIs em andamento e 
 3 Servidores com os PDIs concluidos de janeiro a março (acumulado)

PDIs concluidos no mês 03/2024 = 1 colaborador



","

META ALCANÇADA ATÉ 30/03/2024 
19,29% 


Do Montante de 171 Servidores avaliados no Programa Gestão Por Competências 2023/2024: 

44 Servidores estão sem PDI

127 Servidores com os PDIs Elaborados 
  20 Servidores com os PDIs incorretos sem  iniciativa    
 18  Servidores com os PDIs com iniciativas atrasadas 
 56  Servidores com os PDIs em andamento e 
33  Servidores com os PDIs concluidos de janeiro a junho (acumulado)

PDIs concluidos no mês 06/2024 =25 colaboradores


","

META ALCANÇADA ATÉ 30/03/2024 
67,83% 


Do Montante de 171 Servidores avaliados no Programa Gestão Por Competências 2023/2024: 


171 Servidores com os PDIs Elaborados
122 Servidores com os PDIs concluidos de janeiro a outubro (acumulado)
  21 Servidores com os PDIs em andamento 
  01 Servidores com os PDIs com iniciativas Cadastradas
  27 Servidores com os PDIs incorretos sem iniciativa (criaram PDI, mas não fizeram nenhuma ação)
 
 
PDIs concluidos no mês 10/2024 = 07 colaboradores

OUTUBRO-2024
"," 
META ALCANÇADA ATÉ 30/11/2024 
87,72%

Do Montante de 171 Servidores avaliados no Programa Gestão Por Competências 2023/2024: 


171 Servidores com os PDIs Elaborados
149 Servidores com os PDIs concluidos de janeiro a outubro (acumulado)
007 Servidores com os PDIs em andamento 
001 Servidores com os PDIs com iniciativas Cadastradas
014 Servidores com os PDIs incorretos sem iniciativa (criaram PDI, mas não fizeram nenhuma ação)
 
 
PDIs concluidos no mês 11/2024 = 27 colaboradores


PDI - NOVEMBRO/2024",Concluída,"META PARA 2024
70%"
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 3 R4_Sensibilização/motivação das equipes,REALIZAR  A AVALIAÇÃO DE DESEMPENHO (REGULAMENTO DE AVALIAÇÃO DE DESEMPENHO-VIGENTE),10,DAFI,UGPES_GACD,30/09/2024,AVALIAÇÃO DE DESEMPENHO REALIZADA,"
0% DE EXECUÇÃO

Realização somente em setembro 2024, conforme PCCS vigente","
0% DE EXECUÇÃO

Realização somente em setembro 2024, conforme PCCS vigente","
100% DE EXECUÇÃO
Avaliação de Desempenho  realizada no mês 09/2024 e publicada na INTRANET e no DO","
100% DE EXECUÇÃO
Avaliação de Desempenho  realizada no mês 09/2024 e publicada na INTRANET e no DO",Concluída,"META PARA 2024
100%"
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3",N.S.A.,REALIZAR PROCESSO SELETIVO PARA CONTRATAÇÃO DE JOVENS APRENDIZES,11,DAFI,UGPES_GACD,30/11/2024,PROCESSO SELETIVO REALIZADO,"
0% DE EXECUÇÃO
Priorizada para ser realizada até fevereiro 2025","
0% DE EXECUÇÃO
Priorizada para ser realizada até fevereiro 2025","
10% DE EXECUÇÃO
1) Publicação da Portaria - Comissão
 Priorizada para ser realizada até Fevereiro 2025","
50% DE EXECUÇÃO
1) Publicação da Portaria - Comissão
 Priorizada para ser realizada  até fevereiro/2025 considerando que aulas/curs no SENAC começam somente em março 2025 ",Em execução,"META PARA 2024
50%"
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3",N.S.A.,"MANTER  OS CONTRATOS COM FORNECEDORES ATIVOS (Sodexo, Ifood, Caju, Volus, Elofy, Universidade Patativas, Super Estágios, Equipe Assistencia e Lua Serviços)  ",12,DAFI,UGPES_GACD,31/12/2024,CONTRATOS COM FORNECEDORES MANTIDOS,"""
00% DE EXECUÇÃO

1) CRED 001/2023/MTI        PLUXEE  

2) CRED 002/2023/MTI        IFOOD  
 
3) CRED 003/2023/MTI  -  (CAJU) 

4) CRED 004/2023/MTI        VÓLUS

5) Contrato Equipe 


6) Contrato Universidade Patativas 

7) Contrato Super Estágios  

8) Contrato Elofy


9) Analista / Recepcionistas e Porteiros 



ACOMPANHAMENTO DE PROCESSOS","""
44,44% DE EXECUÇÃO

1) CRED 001/2023/MTI        PLUXEE  

2) CRED 002/2023/MTI        IFOOD  
 
3) CRED 003/2023/MTI  -  (CAJU) 

4) CRED 004/2023/MTI        VÓLUS

5) Contrato Equipe 


6) Contrato Universidade Patativas 

7) Contrato Super Estágios  

8) Contrato Elofy


9) Analista / Recepcionistas e Porteiros 

(Previsão são 7 processos  para 2025 

ACOMPANHAMENTO DE PROCESSOS","77,77 % DE EXECUÇÃO

1) CRED 001/2023/MTI        PLUXEE  

2) CRED 002/2023/MTI        IFOOD  
 
3) CRED 003/2023/MTI  -  (CAJU) 

4) CRED 004/2023/MTI        VÓLUS

5) Contrato Equipe 


6) Contrato Universidade Patativas 

7) Contrato Super Estágios  

8) Contrato Elofy


9) Analista / Recepcionistas e Porteiros 

(Previsão são 7 processos  para 2025 e que já foram instruidos e estão em outras Unidades para os devidos andamento)

ACOMPANHAMENTO DE PROCESSOS
","
100% DE EXECUÇÃO

1) CRED 001/2023/MTI        PLUXEE  

2) CRED 002/2023/MTI        IFOOD  
 
3) CRED 003/2023/MTI  -  (CAJU) 

4) CRED 004/2023/MTI        VÓLUS

5) Contrato Equipe 


6) Contrato Universidade Patativas 

7) Contrato Super Estágios  

8) Contrato Elofy


9) Analista / Recepcionistas e Porteiros 

(Previsão são 7 processos  para 2025 e que já foram instruidos e estão em outras Unidades para os devidos andamento)

ACOMPANHAMENTO DE PROCESSOS
",Concluída,"META PARA 2024 100%
7 PROCESSOS"
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,CONCLUIR O MAPEAMENTO DOS PROCESSOS E REVISAR OS JÁ MAPEADOS,13,DAFI,UGPES_GPMM,31/12/2024,MAPEAMENTO E REVISÃO DE PROCESSOS REALIZADOS,"00% DE EXECUÇÃO

1 - POP Escala de Férias 
2 - POP Cadastro de atestado médico
3 - POP Bloqueio de Acessos AD e E-mail
4 - POP Entrada de Notas Fiscais no Sistema SIAG C
5 - POP Elaborar Termo de Cessão
6 - POP Progressão Funcional de Classe
7 - POPProgressão de Referência
8 - PMP Manual de orientação TCE – Concursos e Processos Seletivos
9 - PMP Escala de Férias
10 - PMP - Gerenciar Plano de Saúde Médico, Hospitalar e Odontológico
11 - PMP - Folha de Pagamento Processada

(Previsão são 11 processos para 2024)","
50% DE EXECUÇÃO

1 - POP Escala de Férias 
2 - POP Cadastro de atestado médico
3 - POP Bloqueio de Acessos AD e E-mail
4 - POP Entrada de Notas Fiscais no Sistema SIAG C
5 - POP Elaborar Termo de Cessão
6 - POP Progressão Funcional de Classe
7 - POPProgressão de Referência
8 - PMP Manual de orientação TCE – Concursos e Processos Seletivos
9 - PMP Escala de Férias
10 - PMP - Gerenciar Plano de Saúde Médico, Hospitalar e Odontológico
11 - PMP - Folha de Pagamento Processada

(Previsão são 11 processos para 2024)","
60% DE EXECUÇÃO

1 - POP Escala de Férias 
2 - POP Cadastro de atestado médico
3 - POP Bloqueio de Acessos AD e E-mail
4 - POP Entrada de Notas Fiscais no Sistema SIAG C
5 - POP Elaborar Termo de Cessão
6 - POP Progressão Funcional de Classe
7 - POPProgressão de Referência
8 - PMP Manual de orientação TCE – Concursos e Processos Seletivos
9 - PMP Escala de Férias
10 - PMP - Gerenciar Plano de Saúde Médico, Hospitalar e Odontológico
11 - PMP - Folha de Pagamento Processada

(Previsão são 11 processos para 2024)","
100% DE EXECUÇÃO

1 - POP Escala de Férias 
2 - POP Cadastro de atestado médico
3 - POP Bloqueio de Acessos AD e E-mail
4 - POP Entrada de Notas Fiscais no Sistema SIAG C
5 - POP Elaborar Termo de Cessão
6 - POP Progressão Funcional de Classe
7 - POPProgressão de Referência
8 - PMP Manual de orientação TCE – Concursos e Processos Seletivos
9 - PMP Escala de Férias
10 - PMP - Gerenciar Plano de Saúde Médico, Hospitalar e Odontológico
11 - PMP - Folha de Pagamento Processada

(Previsão são 11 processos para 2024)",Concluída,"META PARA 2024
100%"
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,ELABORAR CHECK LIST PARA INSTRUÇÃO DOS PROCESSOS DE PAGAMENTO,14,DAFI,UGPES_GPMM,31/12/2024,CHECK LIST ELABORADO,"00% DE EXECUÇÃO

Priorizada para ser realizada até 31/12/2024
1) Alimentação/ Refeição
a) Pluxee
b) Vôlus
c) Caju
d) IFOOD
2) Euipe
3) Uniodonto
4) Vale Tranporte
5) Unimed Mensalidade
a) 2400
b) 2839
c) 5060
d) 7890
6) Unimed Farmácia
a) 2400
b) 2839
c) 5060
d) 7890

","30% DE EXECUÇÃO

Priorizada para ser realizada até 31/12/2024
1) Alimentação/ Refeição
a) Pluxee
b) Vôlus
c) Caju
d) IFOOD
2) Euipe
3) Uniodonto
4) Vale Tranporte
5) Unimed Mensalidade
a) 2400
b) 2839
c) 5060
d) 7890
6) Unimed Farmácia
a) 2400
b) 2839
c) 5060
d) 7890

","60% DE EXECUÇÃO

Priorizada para ser realizada até 31/12/2024
1) Alimentação/ Refeição
a) Pluxee
b) Vôlus
c) Caju
d) IFOOD
2) Euipe
3) Uniodonto
4) Vale Tranporte
5) Unimed Mensalidade
a) 2400
b) 2839
c) 5060
d) 7890
6) Unimed Farmácia
a) 2400
b) 2839
c) 5060
d) 7890

","100% DE EXECUÇÃO

Priorizada para ser realizada até 31/12/2024
1) Alimentação/ Refeição
a) Pluxee
b) Vôlus
c) Caju
d) IFOOD
2) Euipe
3) Uniodonto
4) Vale Tranporte
5) Unimed Mensalidade
a) 2400
b) 2839
c) 5060
d) 7890
6) Unimed Farmácia
a) 2400
b) 2839
c) 5060
d) 7890

",Concluída,"META PARA 2024
100%"
,,,,,,,,,,,,,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R4_Sensibilização/motivação das equipes,Realizar pesquisa interna de satisfação específica referente a manutenção e limpeza (trimestral),01,DAFI,UGADM_GETS,31/12/2024,Número de pesquisas realizadas,"Durante o período de 21 a 26 de março, foi conduzida uma pesquisa de satisfação em relação aos serviços de limpeza, na qual alcançamos uma taxa de satisfação interna de 97,44%.","Durante o período de 28 ao 02/07, foi conduzida uma pesquisa de satisfação em relação aos serviços de limpeza, na qual alcançamos uma taxa de satisfação interna de 95,59%.","Durante o período de 26/09 a 03/ 10, foi conduzida uma pesquisa de satisfação em relação aos serviços de limpeza, na qual alcançamos uma taxa de satisfação interna de 86,40",Estaremos realizando a próxima pesquisa de satisfação com nossos funcionários em fevereiro.,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 2: R3_Aperfeiçoar o modelo de contratação dos serviços da MTI ,Gerir e fiscalizar a execução dos contratos e dos serviços,02,DAFI,UGADM_GETS,31/12/2024,Número de contratos monitorados,"Todos os processos de pagamento , bem como o andamento da execução dos serviços seguem monitorados e montados pelos seus respectivos fiscais.","Todos os processos de pagamento , bem como o andamento da execução dos serviços seguem monitorados e montados pelos seus respectivos fiscais.","Todos os processos de pagamento , bem como o andamento da execução dos serviços seguem monitorados e montados pelos seus respectivos fiscais.","Todos os processos de pagamento , bem como o andamento da execução dos serviços seguem monitorados e montados pelos seus respectivos fiscais.",Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Levantar e consolidar a necessidade de bens de consumo,03,DAFI,UGADM_GEPM,30/04/2024,Atendimento as solcitações via Protheus,O sistema está passando por ajustes(manutenção) para poder atualizar estoque.,O sistema está atualizando estoque normalmente. As solicitações de bens de consumo hoje são feitas via email. Em parceria com a UGSTI as solicitações estão sendo implementadas no Service Now.,Aguardando retorno da UGSTI sobre implementação no Service Now,Aguardando retorno da UGSTI sobre implementação no Service Now,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Montar processo de pagamento em tempo hábil para não gerar multas nas faturas,04,DAFI,UGADM_GETS,31/12/2024,Número de produtos,"Os processos estão sendo montados no prazo de 10 dias úteis, atendendo o obejtevio e metas.","Os processos estão sendo montados no prazo de 10 dias úteis, atendendo o obejtevio e metas.","Os processos estão sendo montados no prazo de 10 dias úteis, atendendo o obejtevio e metas.","Os processos estão sendo montados no prazo de 10 dias úteis, atendendo o obejtevio e metas.",Concluída,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 1: R1_Implementar  processo de gestão de custos,Melhorar continuamente a gestão patrimonial da empresa.,05,DAFI,UGADM_GEPM,31/12/2024,Número de bens patrimoniados,Recentemente foi feito um levantamento e foi ajustado os bens no sistema Protheus.,Verificação continuada dos bens no sistema Protheus. E efetuado baixa dos bens.,Verificação continuada dos bens no sistema Protheus. E efetuado baixa dos bens.,Verificação continuada dos bens no sistema Protheus. E efetuado baixa dos bens.,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Acompanhar Check Lista nas instruções processos  da GETS/GEPM,06,DAFI,UGADM,31/12/2024,Check List elaborados,"Atualmente, a UGADM está gerenciando 5 processos em andamento : Coffe Break, Recepcionista, Renovação da Vivo, Aquisição de Extintores e Renovação da Manutenção de Ar Condicionado.","Atualmente, a UGADM está gerenciando 4 processos em andamento:Coffe Break, Recepcionista, Eletrodoméstico, Consumo","Atualmente, a UGADM está gerenciando 02 processos em andamento: Eletrodomestico e Renovação contrato da prime ","Todos os nossos processos que havíamos planejado foram concluídos em 2024. Assim que eu abrir o orçamento, começarei o planejamento para 2025.",Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 1: R1_Implementar  processo de gestão de custos,Realizar em conjunto com a contabilidade a baixa de bens permanentes,07,DAFI,UGADM_GEPM,31/12/2024,Inventário anual,Ajustes realizados e atualizados via sistema Protheus.,Efetuando baixa dos bens permanentes juntamente com a contabilidade no sistema Protheus.,Aguardando inicio das atividades da comissão de inventário 2024,"Já foi entregue a primeira versão (V1) ao presidente da comissão, o senhor Alcindo. Estamos aguardando alguns ajustes para que seja entregue oficialmente à SEPLAG.",Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Monitorar e providenciar a gestão de combustível e manutenção da frota,08,DAFI,UGADM_GETS,31/12/2024,Realizar a Gestão,"O fiscal do contrato acompanha a gestão de combustível junto a empresa prime que atraves do software , faz a gestão de frotas  monitorando o uso do combustível e o desempenho dos veículos em tempo real.","O fiscal do contrato acompanha a gestão de combustível junto a empresa prime que atraves do software , faz a gestão de frotas  monitorando o uso do combustível e o desempenho dos veículos em tempo real.","O fiscal do contrato acompanha a gestão de combustível junto a empresa prime que atraves do software , faz o gerenciamento e  monitorando o uso do combustível e o desempenho dos veículos em tempo real.","O fiscal do contrato acompanha a gestão de combustível junto a empresa prime que atraves do software , faz o gerenciamento e  monitorando o uso do combustível e o desempenho dos veículos em tempo real.",Concluída,
